id, drugname, comment
4,lisinopril,First thing I thought I had the flu my asthma kept flaring up then my hands started to itch like job in the bible I swear I could have used glass and cut my skin off it was itching to the bone then these red spots appeared on my palm when you touch them it ... more »First thing I thought I had the flu my asthma kept flaring up then my hands started to itch like job in the bible I swear I could have used glass and cut my skin off it was itching to the bone then these red spots appeared on my palm when you touch them it unleashes hell fire omg it burns like some body poured lighter fluid and set it on fire in your palms then the soles of my feet started hurting  last this is the cherry on the top all of fingers got so swollen the joints felt like closed them in a car door ...I will never ever uses that medicine ever.....it's like I got bit by a snake the worst feeling ever. Please tell people about my story and warn them about this destructive medicine
5,lisinopril,"Dee1967 I was been placed on Lisinopril 20mg's daily.Since then i have had severe body pains,weakness in arm's leg's,vision impairment,hairloss,cough,sore throat severe dry mouth,blistering on the back of my tongue.It is so bad i cannot lift my arm's or ... more »Dee1967 I was been placed on Lisinopril 20mg's daily.Since then i have had severe body pains,weakness in arm's leg's,vision impairment,hairloss,cough,sore throat severe dry mouth,blistering on the back of my tongue.It is so bad i cannot lift my arm's or walk some day's.My vision is so bad at time's i cannot even read a simple sentence.And the dizziness is severe.Nauseated constantly and weigh gain.This drug is dangerous! I have taken myself off of this drug,but the side effect's are severe and have not subsided.Their were some day's my throat felt so enlarged i could not swallow,it is and was a very tramatic experience.To lift a pillow at time's was a job.The pain and numbness esp at night scared me."
0,avelox,"Does anyone have any idea how long these side effects can last? My husband was given iv avelox for 4 days then oral avelox for 7days. He was in the hospital for the first 6 days. His legs seized up  and were very painful but the Drs said it was not the ... more »Does anyone have any idea how long these side effects can last? My husband was given iv avelox for 4 days then oral avelox for 7days. He was in the hospital for the first 6 days. His legs seized up  and were very painful but the Drs said it was not the avelox and continued to give it to him.  I don't even want to go into the kidney problems, liver problems and hemoglobin issues as they seem to be coming back in line. But the leg and feet are still a problem 13 weeks later.  How long do we have to wait for this to go away?? any ideas"
1,avelox,"I have a chronic bacterial infection for which I have taken Avelox / moxifloxacin in the past without any significant adverse side effects.  This time, however, about an hour after taking the first dose I got the ""never felt so sick in my life"" feeling ... more »I have a chronic bacterial infection for which I have taken Avelox / moxifloxacin in the past without any significant adverse side effects.  This time, however, about an hour after taking the first dose I got the ""never felt so sick in my life"" feeling others have reported here.  I got into the bathroom and barely had the strength to get up off the floor to the toilet to void my intestines, alternating with throwing up in the tub.  Then I started violent shivering, teeth chattering, mitigated a little by a heavy bathrobe and blanket, in a room that was already at 78 degrees.  My oral temperature measured only 89 degrees!  After about 6 hours all this subsided enough for me to get into bed for a fitful sleep.  Fortunately I seem to be back to normal the next day."
2,avelox,"I have permanent iris damage, Iris Atrophy.  I had pneumonia April, 2012, was given Avelox and Zyvox through IV in hospital and then taken orally for 10 days.  I developed burning and extreme light sensitivity. In May, 2012, I was told my irises are now ... more »I have permanent iris damage, Iris Atrophy.  I had pneumonia April, 2012, was given Avelox and Zyvox through IV in hospital and then taken orally for 10 days.  I developed burning and extreme light sensitivity. In May, 2012, I was told my irises are now translucent and the pupil no longer dilates.  I have been doing research online and I've found other cases that sound similar to mine.  My online research is revealing that Avelox may be the cause of my Iris Atrophy.  If anyone has info on this, please reply!  It is so frustrating!  I am being treated with prosthetic iris contact lenses which help a lot with the sun sensitivity.  I'm curious what treatment others like me are doing?  Is there any way to prove Avelox is the cause of this?"
3,avelox,"Avelox causes more toxic reactions than anaphylaxis. Toxic reactions cause permanent damage,mainly neurological and cardiac.  My former posts were as disabled nurse but for unknown reasons,i could not log in,so now my user name is sickandtiredofdocs.  My ... more »Avelox causes more toxic reactions than anaphylaxis. Toxic reactions cause permanent damage,mainly neurological and cardiac.
My former posts were as disabled nurse but for unknown reasons,i could not log in,so now my user name is sickandtiredofdocs.
My email is burnsy1339@yahoo.com. I have been in contact with Dr. Howard Edelstein(Martin,Edelstein &Nelson lawfirm in Philly) He has given me permission to post his contact number to other Avelox victims for a no cost consultation. He is one of the good guys. God knows there aren,t many left!! His number:215-731-9900 ext.105. He will speak to you . Perhaps we can get a class action suit filed in federal court!! Don,t give up people,get mad and get Bayer where it hurts most,their dirty money profits!!
I,m starting to receive emails from other victims recently. My posts were over a year ago but they were unable to reach me until now.
burnsy1339 at yahoo dot com.................Best wishes..Trudy"
4,avelox,"I went to my doc he prescribed Avelox I took it at bedtime during early hours I woke up with a rapid heart beat , rash, and tremors. It scared me took 2 days to get over the symptoms mean time I spent $80.00 after ins part I feel I should have been compensated for my experience I had I know you cannot return the drug but the maker should refund me and compensate my bad experience. ... more »I went to my doc he prescribed Avelox I took it at bedtime during early hours I woke up with a rapid heart beat , rash, and tremors. It scared me took 2 days to get over the symptoms mean time I spent $80.00 after ins part I feel I should have been compensated for my experience I had I know you cannot return the drug but the maker should refund me and compensate my bad experience."
5,avelox,"I went to mu doc who prescribed me Avelox I took dose at nite ,woke up trembling , rapid heart beat and a rash I wouldn't take anymore but it took me 2 days to get over the tremors and rash I spent $80.00 of my part after ins. paid rest I know that I ... more »I went to mu doc who prescribed me Avelox I took dose at nite ,woke up trembling , rapid heart beat and a rash I wouldn't take anymore but it took me 2 days to get over the tremors and rash I spent $80.00 of my part after ins. paid rest I know that I couldn't return but I should have been compensated for a drug that
 caused me to fall ill.                                    Nancy Green
                                                                   Bluffton SC"
6,avelox,I was prescribed Avelox for a sinus / bronchitis infection.  I had pains in my right shoulder that woke me up at night and also heart palpitations and nervousness.  I was told to take Motrin for my pain and that confused me as later I found out that ... more »I was prescribed Avelox for a sinus / bronchitis infection.  I had pains in my right shoulder that woke me up at night and also heart palpitations and nervousness.  I was told to take Motrin for my pain and that confused me as later I found out that interacts with Avelox.  The only warnings I saw were not to take aluminum or magnesium with this drug on the bottle and to avoid sunlight.  So much for trusting the dr. to check on drug interactions.  I have fibro so this might also be a factor as people with immune disorders should not take it.  The doctor mentioned none of this!  After reading this article I am afraid this will continue.  NOT a good medicine!
7,avelox,"Was prescribed Avelox for a sinus infection.  No problem on day 1.  On day 2, tremors, headache and throat started closing within 15 minutes.  Went on line and noted the long list of side effects.  Call my doctor this morning and he took me off.  I have ... more »Was prescribed Avelox for a sinus infection.  No problem on day 1.  On day 2, tremors, headache and throat started closing within 15 minutes.  Went on line and noted the long list of side effects.  Call my doctor this morning and he took me off.  I have taken other meds in this family infrequently, but I have never had such a reaction from any medication.  I cannot believe this drug is on the market.  Unsuspecting people are being exposed to outrageous side effects and some report these effects are ongoing. DO NOT THIS THIS DRUG!!"
0,prednisone,"Tiffany and Co elsa peretti aegean necklace jewelry [Model: Tiffany Necklaces 048] - $57.00 : TITLE, SITE_TAGLINE ... more »Tiffany and Co elsa peretti aegean necklace jewelry [Model: Tiffany Necklaces 048] - $57.00 : TITLE, SITE_TAGLINE"
1,prednisone,"Replica IWC Vintage Collection, Edition Jubile watches,cheap IWC Vintage Collection, Edition Jubile watches sale,discount IWC Vintage Collection, Edition Jubile watches outlet,IWC Vintage Collection, Edition Jubile watches ... more »Replica IWC Vintage Collection, Edition Jubile watches,cheap IWC Vintage Collection, Edition Jubile watches sale,discount IWC Vintage Collection, Edition Jubile watches outlet,IWC Vintage Collection, Edition Jubile watches"
2,prednisone,"fake ORIS WATCHES cheap ORIS WATCHES copy ORIS WATCHES ORIS WATCHES sale ORIS WATCHES online   Replica Montblanc watches,fake Montblanc watches,Montblanc watches,Replica Montblanc watches sale,Replica Montblanc watches online                                ... more »fake ORIS WATCHES
cheap ORIS WATCHES
copy ORIS WATCHES
ORIS WATCHES sale
ORIS WATCHES online"
3,prednisone,"I was put on the prednisone 4 pack(steroid) and all was good(for my muscle spasms) Then i got prescribed a second time (the 10 mg tabs) and I have taken 36 pills and the excruciating pain i feel in my lower left side teeth.I cannot  explain.I haven't had ... more »I was put on the prednisone 4 pack(steroid) and all was good(for my muscle spasms) Then i got prescribed a second time (the 10 mg tabs) and I have taken 36 pills and the excruciating pain i feel in my lower left side teeth.I cannot  explain.I haven't had tooth problems so,I thought it could be from the pills.And then the top of my teeth started getting pain shooting through them.Scary.I'm not taken last 3 tablets.All should subside."
4,prednisone,"Thank You for this forum!! I'm not insane after all!! I was stung by a yellow jacket bee. I had a bad reaction and went to ER. I was given an injection of prednisone and benydril.   I came home with my heart racing and lots of anxiety. The next day I took ... more »Thank You for this forum!! I'm not insane after all!! I was stung by a yellow jacket bee. I had a bad reaction and went to ER. I was given an injection of prednisone and benydril.
 I came home with my heart racing and lots of anxiety. The next day I took the prescribed dose of prednisone. My heart began racing again, I got chills and rash all over my body. The arm I got the prednisone injection in is super swollen and hurts a lot! I feel awful!! I am stopping this medication and pray I can sleep tonight. I also noticed I am more agitated! Snapped at my poor kids for no reason. I hate this medication"
5,prednisone,"I took PredniSONE for two days and I've started feeling even worse. I was prescribed it for inflammation of my throat. My brain feels like its moving and it kind of hurts on the right side. Also, when I burp it burns in my throat, and ears. It makes me ... more »I took PredniSONE for two days and I've started feeling even worse. I was prescribed it for inflammation of my throat. My brain feels like its moving and it kind of hurts on the right side. Also, when I burp it burns in my throat, and ears. It makes me feel even more fatigued than I was and today I'm feeling a tingling in my left fingers. My first dose was at the hospital and they had me take 4 at a time. Could it be the quantity? Please help"
6,prednisone,"Thank you so much in advance for reading! The last few weeks have been an absolute nightmare for me. I was on Prednisone for three days (it was supposed to be a week but I called my doctor with how bad my reactions were and she told me to stop) on 20mg twice a day. I was put on it originally to give me a ""boost"" from this mono like virus that was in my system for a good month.  ... more »Thank you so much in advance for reading! The last few weeks have been an absolute nightmare for me. I was on Prednisone for three days (it was supposed to be a week but I called my doctor with how bad my reactions were and she told me to stop) on 20mg twice a day. I was put on it originally to give me a ""boost"" from this mono like virus that was in my system for a good month. "
7,prednisone,"This medicine is life changing.. in as many negative ways as you can think. i was taking only the 20mg for 5 days 3 times a day and the second day i suffered vomiting, and a lot of it. I've lost 7 lbs and this is my first experience with anxiety. I grind ... more »This medicine is life changing.. in as many negative ways as you can think. i was taking only the 20mg for 5 days 3 times a day and the second day i suffered vomiting, and a lot of it. I've lost 7 lbs and this is my first experience with anxiety. I grind my teeth a lot and thats something i haven't done since i was really young. I dont feel like myself, i thought it was just me until i came to this website. I created an account just to tell whats going on with me. I've stopped taking it for about 3 days now and i just dont feel like myself... I need help..."
0,cipro,"went to doctor and had a slight kidney infection so they give me cipro AND i can not take cipro antibotics for kidney infection made me very sick feeling almost vomitting,sweats,was horrible.i rather have an infection any day than what that cipro made me ... more »went to doctor and had a slight kidney infection so they give me cipro AND i can not take cipro antibotics for kidney infection made me very sick feeling almost vomitting,sweats,was horrible.i rather have an infection any day than what that cipro made me feel and go through.is there aany other antibotics that dont make you sick like that for a kidney infection or will azo cranbery and cranberry,water and lemonade work without taking any antibotics im little and cant handle taking any cipro period i stopped taking it today and going to call that doctor tomorrow."
1,cipro,"My husband took Cipro for a bladder infection and just had surgery on the tendon that attaches to the heal of his foot, not knowing that this would happen we trusted our doctor.  My husband took the drug as directed, and this is the result.  This drug ... more »My husband took Cipro for a bladder infection and just had surgery on the tendon that attaches to the heal of his foot, not knowing that this would happen we trusted our doctor.  My husband took the drug as directed, and this is the result.  This drug should be removed from the market like the FDA did with Avandia.  Does someone have to die before they get a clue.  Maybe the victums of this drug need to start a law sute against the drug company that sells Cipro and the FDA would finally get the clue that this is a very dangerest drug to be prescribing to anyone and everyone."
2,cipro,"I was prescribed Cipro in Oct 2010, the side effects were worse than anything I believe I could ever get (except maybe anthrax which I later found out is the reason Cipro was made not for the infections it is so readily prescribed for these days).  I am ... more »I was prescribed Cipro in Oct 2010, the side effects were worse than anything I believe I could ever get (except maybe anthrax which I later found out is the reason Cipro was made not for the infections it is so readily prescribed for these days).  I am looking for help with acid reflux, heartburn, indigestion, ibs, colitis, severe pain from the ibs, colitis, in the back and back muscles twitching, eye and face twitching, hand and face numbness and anxiety/panic attacks that hit when pain is severe.  I would also like to hear how those who have taken Cipro and experienced similar problems are doing now please."
3,cipro,"I was prescribed cipro 500mg 3x a day for a staph infection. I first realized something was wrong when as a guitar player I was having trouble holding on to a pick. I now have peripheral neuopathy in both arms causing muscle wasting,severe pain in both of ... more »I was prescribed cipro 500mg 3x a day for a staph infection. I first realized something was wrong when as a guitar player I was having trouble holding on to a pick. I now have peripheral neuopathy in both arms causing muscle wasting,severe pain in both of my shoulders,loss of balance and other symptoms to numerous to name. I think anyone who has taken cipro and suffered side effects should be given government disability and have bayer ordered to pay a substantial settelment for pain and suffering from taking a drug they knew could cause that much damage."
4,cipro,"i was given cipro for kidney stones. i took it 14 days. i had to wear sunglasses for light sensitivity. sharp shooting pain in my eyes. severe soreness and weakness in my knees,.head aches,slurred and impared speech, unable to remember words when ... more »i was given cipro for kidney stones. i took it 14 days. i had to wear sunglasses for light sensitivity. sharp shooting pain in my eyes. severe soreness and weakness in my knees,.head aches,slurred and impared speech, unable to remember words when conversating..wrists, shoulders , hip pain and soreness..stiffness of joints..restlessness and inability to lay still but unable to sleep. at all..fatigue and loss of sexual desire..we should start a movement against it. if you are interested , email me at  letshelpem@gmail.com"
5,cipro,"I was given Cipro for a stomach infection I had for a couple of days.  I am 62 years old and in pretty good shape.Up until 2 weeks ago I walked at least 5 miles a day every other day. Now, after taking Cipro for only 2 days my world has blown up. I have ... more » I was given Cipro for a stomach infection I had for a couple of days.  I am 62 years old and in pretty good shape.Up until 2 weeks ago I walked at least 5 miles a day every other day. Now, after taking Cipro for only 2 days my world has blown up. I have double vision and bad headaches even after stop taking it over a week ago.
 I can't even sit now because of the intense joint and hip pain. All of my joints are burning. My shoulders and tendons in my legs are very bad, but this hip pain is a shocking. To add to this, my feet and fingers are numb. Things are showing up and getting worse by the day. How can this be? I have been hurt badly by this drug. Doctors Please.....the danger!   Nerve damage? Tendons rupture? Heart damage?.....and it kills germs too. Heck......just take a big swallow of gasoline next time you get a little infection. I don't know if it can kill everything Cipro can....but the damage couldn't be any worse . At least there is hope treating that. They would at least try to treat the side effects caused by drinking gasoline.... there is no treatment for Cipro poisoning.     "
6,cipro,"Female. Age 30. I was prescribed Cipro when I came back from a trip to Central America with a mysterious fever that had lasted for 6 days.  My dosage was 500 mg, 2x a day.  After the second day, I started having wrist pain. Day 3 it spread to one angle, ... more »Female. Age 30. I was prescribed Cipro when I came back from a trip to Central America with a mysterious fever that had lasted for 6 days.  My dosage was 500 mg, 2x a day.  After the second day, I started having wrist pain. Day 3 it spread to one angle, and on day 4 both ankles and both wrists. Day 5 I stopped taking the drug, as I realized it wasn't my own mild activity causing this pain. I have now been off the drug for 9 days, and the joint pain has escalated terribly. I have severe pain in both ankles and in 1 knee. The other knee hurts, but is slightly more flexible. I hope hope hope that this pain will go away soon, because I am almost completely immobilized despite several full days of rest, elevating the joint, taking anti-inflammatories, using braces, etc. It is really remarkable how harmful this drug is, and I just hope to heal from those 10 doses I took soon, and I wish my doctor and/or pharmacist had said something. "
0,floxin,"The following are the known, listed and published adverse drug events associated with fluoroquinolone therapy. Floxin is a chemotherapuetic antibiotic belonging to this class:  ... more »The following are the known, listed and published adverse drug events associated with fluoroquinolone therapy. Floxin is a chemotherapuetic antibiotic belonging to this class: "
0,elavil,"I have been on elavil for about 8 years and I take 10 mg a night. Have there been any reported long time side effects?  I have been experiencing different symptoms for the past year and I was pondering going off of  this. Seems as if I am in such a deep ... more »I have been on elavil for about 8 years and I take 10 mg a night. Have there been any reported long time side effects?  I have been experiencing different symptoms for the past year and I was pondering going off of  this. Seems as if I am in such a deep sleep that in the middle of the night sometimes I wake up gasping for breath and each and every time that I did not take this it did not happen, I do like that sleep that it alows me to get
Just wondering if there were any long term effects"
1,elavil,"I was on elavil for almost three years. My doctor started me on 1 10mg pill a day and moved me up to 4 pills due to severe migraines.  I started feeling like a monster and everybody was noticing it.  I had no desire to do anything anymore, I had no energy ... more »I was on elavil for almost three years. My doctor started me on 1 10mg pill a day and moved me up to 4 pills due to severe migraines.  I started feeling like a monster and everybody was noticing it.  I had no desire to do anything anymore, I had no energy and wanted to do nothing but stay home and in bed all the time.  I had to force myself to get out of bed in the mornings and found myself extremely irritable.  I used to be the most outgoing, bubbly, fun person and ever since I was on the elavil I haven't been happy in a very long time.  I've been off elavil for about a month and a half now and just hope I eventually start to feel like myself again soon."
2,elavil,"I have had two back surgeries. Both times I was prescribed Elavil (ametryptalne) to assist indealing with pain and helping me sleep while i was in pian. I'm not depressed ( my wife thinks I'm crazy). Does anyone have any information about the connection ... more »I have had two back surgeries. Both times I was prescribed Elavil (ametryptalne) to assist indealing with pain and helping me sleep while i was in pian. I'm not depressed ( my wife thinks I'm crazy). Does anyone have any information about the connection between pain and Elavil. Currently I only take 25mg once a day at bed time and it has helped with chronic pain and on most occassions alowing me a full nights sleep which I have not had in quite some time. This info could also help with my insurance. Thank you, Wayne"
0,norvasc,"I have bad circulation in my feet and legs. For a time, I couldn't find the generic Trental which is Pentoxifylline that worked really well. My Dr. gave me Norvasc. I was sleeping all the time, I have gained 10 pounds and am having painful lumps in my ... more »I have bad circulation in my feet and legs. For a time, I couldn't find the generic Trental which is Pentoxifylline that worked really well. My Dr. gave me Norvasc. I was sleeping all the time, I have gained 10 pounds and am having painful lumps in my breasts. I went off the Norvasc and tried Pletal. I felt awful on Pletal. Thank God, I found the Pentoxifylline again. Norvasc slowed my whole system down. I couldn't concentrate and I couldn't organized my thoughts enough to clean off the table. "
1,norvasc,"Had been on my 2nd month with Norvasc.  I had experienced swelling of the legs and now, I feel I am bloated, my stomach is getting bigger and do not really know if it is from the Norvasc or just eating a lot.  Since taking Norvasc, I had been having some ... more »Had been on my 2nd month with Norvasc.  I had experienced swelling of the legs and now, I feel I am bloated, my stomach is getting bigger and do not really know if it is from the Norvasc or just eating a lot.  Since taking Norvasc, I had been having some pain on the upper part of my stomach and some diarrhea.  My doctor gave me water pill after I complained my legs were swelling but the swelling of my stomach, I do not really know if it is from Norvasc or not.  Has anyone experience bloating of the stomach?  "
0,cozaar,At first everything seemed ok with Cozaar (50 mg).  My doc put me on this since she said it has the least side effects.  I had a little dry mouth at first and also muscle pain.  The muscle pain is improving but within the last week the dry mouth is almost unbearable.  I am constantly thirsty.   ... more »At first everything seemed ok with Cozaar (50 mg).  My doc put me on this since she said it has the least side effects.  I had a little dry mouth at first and also muscle pain.  The muscle pain is improving but within the last week the dry mouth is almost unbearable.  I am constantly thirsty.  
